company_cd,department_set_cd,department_cd,user_cd,department_main,delete_flag,役職コード［＊］,delete_flag
10,10,10200117,10117818,true,false,10070,false
10,10,10200117,10117721,true,false,0,false
10,10,10200117,10117725,true,false,102199,false
10,10,10200117,10117020,true,false,10064,false
10,10,10200117,10117173,true,false,102299,false
10,10,10200129,10129815,true,false,0,false
10,10,10200129,10129470,true,false,102299,false
10,10,10200129,10129421,true,false,102199,false
10,10,10200129,10129465,true,false,10070,false
10,10,10200129,10129080,true,false,10061,false
10,10,10200129,10129235,true,false,102199,false
10,10,10200132,10132668,true,false,0,false
10,10,10200132,10132816,true,false,10070,false
10,10,10200132,10132360,true,false,102299,false
10,10,10200132,10132654,true,false,102299,false
10,10,10200132,10132020,true,false,10064,false
10,10,10200149,10149817,true,false,10070,false
10,10,10200149,10149474,true,false,102299,false
10,10,10200149,10149815,true,false,0,false
10,10,10200149,10149441,true,false,102199,false
10,10,10200149,10149463,true,false,0,false
10,10,10200149,10149133,true,false,102299,false
10,10,10200149,10129730,true,false,10070,false
10,10,10200151,10221010,true,false,10064,false
10,10,10200151,10151826,true,false,10070,false
10,10,10200151,10151827,true,false,10070,false
10,10,10200151,10151245,true,false,102299,false
10,10,10200151,10151649,true,false,102199,false
10,10,10200156,10174030,true,false,10064,false
10,10,10200156,10156715,true,false,102299,false
10,10,10200156,10156176,true,false,102199,false
10,10,10200156,10156374,true,false,102299,false
10,10,10200168,10168819,true,false,10070,false
10,10,10200168,10168667,true,false,102199,false
10,10,10200168,10168739,true,false,0,false
10,10,10200168,10168550,true,false,102199,false
10,10,10200168,10168568,true,false,0,false
10,10,10200168,10168060,true,false,10064,false
10,10,10200173,10213576,true,false,102299,false
10,10,10200173,10173839,true,false,0,false
10,10,10200173,10173781,true,false,10070,false
10,10,10200173,10173786,true,false,0,false
10,10,10200173,10173610,true,false,102212,false
10,10,10200173,10173628,true,false,102251,false
10,10,10200173,10114030,true,false,10059,false
10,10,10200174,10276030,true,false,10064,false
10,10,10200174,10174514,true,false,0,false
10,10,10200174,10174831,true,false,10070,false
10,10,10200174,10174498,true,false,0,false
10,10,10200174,10174511,true,false,102299,false
10,10,10200174,10174449,true,false,0,false
10,10,10200174,10174456,true,false,102199,false
10,10,10200174,10174337,true,false,102299,false
10,10,10200174,10174433,true,false,102299,false
10,10,10200176,10176828,true,false,10070,false
10,10,10200176,10176829,true,false,10070,false
